temperature,vibration,rpm,current,voltage,bearing_temperature,torque,lubrication_level,status
72.68,10.24,1401.84,11.34,412.68,96.14,24.21,65.72,Bearing Failure
75.44,4.42,1445.18,10.74,407.27,65.7,22.6,69.67,Early Warning
77.33,2.6,1447.34,16.05,387.28,61.79,18.52,83.55,Electrical Fault
65.5,5.61,1297.15,11.59,411.0,60.04,30.0,80.28,Motor Misalignment
71.98,6.2,1454.9,12.15,415.49,84.26,21.28,29.46,Lubrication Failure
65.47,5.21,1443.7,10.44,415.93,65.36,31.77,77.35,Motor Misalignment
69.49,6.49,1405.81,11.73,419.13,78.75,22.18,34.86,Lubrication Failure
73.25,3.67,1411.57,10.83,410.18,65.76,17.69,65.21,Early Warning
73.36,3.64,1416.76,11.48,414.96,73.3,20.61,64.9,Early Warning
54.67,1.6,1504.31,9.49,417.72,51.39,24.43,83.24,Healthy
73.69,5.48,1344.15,10.72,415.35,64.39,21.25,81.37,Motor Misalignment
92.28,2.28,1414.53,10.98,417.28,92.41,26.6,81.95,Overheating
71.56,3.81,1390.76,10.09,412.63,69.37,24.82,68.05,Early Warning
100.86,1.7,1486.82,11.48,414.51,83.54,28.7,79.37,Overheating
93.69,2.3,1474.67,11.87,414.35,90.04,25.08,78.45,Overheating
70.27,5.07,1418.33,11.76,411.71,81.83,16.44,27.66,Lubrication Failure
72.64,3.45,1466.65,10.17,412.98,67.15,20.84,70.78,Early Warning
69.6,5.84,1376.97,9.55,416.89,65.68,32.02,67.83,Motor Misalignment
75.16,2.34,1465.62,16.79,382.63,63.99,22.56,76.02,Electrical Fault
65.94,1.67,1368.65,15.27,384.35,61.39,19.57,82.05,Electrical Fault
60.21,1.97,1480.57,10.37,417.46,62.81,24.25,83.63,Healthy
64.75,2.75,1383.93,18.51,396.05,58.65,20.8,80.22,Electrical Fault
91.87,2.28,1448.09,12.11,409.06,84.24,24.73,83.97,Overheating
79.91,3.85,1436.78,11.37,413.15,70.14,27.89,67.31,Early Warning
72.71,9.18,1371.38,10.78,413.64,81.44,26.85,55.79,Bearing Failure
65.72,7.08,1439.42,10.16,412.76,91.59,23.56,52.8,Bearing Failure
66.38,4.15,1361.89,11.45,417.04,65.34,26.83,77.87,Motor Misalignment
69.58,8.3,1401.56,10.9,414.34,88.3,25.81,62.95,Bearing Failure
67.55,6.66,1278.59,11.3,409.67,72.34,21.35,83.39,Motor Misalignment
67.74,2.77,1436.69,16.14,395.36,56.89,19.72,83.4,Electrical Fault
